delta-time,service,repetition 1,repetition 2,repetition 3,repetiton 4,avg,max,min,Desviacion Standard,p95,p99
50,custom-collector,0.0002624173467564,3.0480516285211200,0.0084331047969896,0.0080240243829550,0.76619279376196,3.048051629,0.000262417,1.317435835,2.59210885,2.979595863
60,custom-collector,0.0002624173467564,3.0480516285211200,0.0084331047969896,0.0074544659329473,0.76605040414945,3.048051629,0.000262417,1.317517799,2.59210885,2.979591592
70,custom-collector,0.0026313915632235,2.8376989848635900,1.3666201089885600,1.2121402640084400,1.35477268735595,2.837698985,0.002631392,1.005962332,2.617037153,2.793566619
80,custom-collector,0.0031739376949003,3.1069403201581500,1.3666201089885600,1.2121402640084400,1.42221865771251,3.10694032,0.003173938,1.106706728,2.845892288,3.05639867
90,custom-collector,0.0031739376949003,2.6908994353145300,1.3666201089885600,1.2121402640084400,1.31820843650161,2.690899435,0.003173938,0.952259216,2.492257536,2.651171056
100,custom-collector,0.0080877784969572,2.2607299798680200,1.5521060139459400,1.2208581239201200,1.26044547405776,2.26072998,0.008087778,0.814800884,2.154436385,2.239471261
110,custom-collector,0.0086959015099700,2.3103813148189400,1.2583230436472700,1.2208581239201200,1.19956459597408,2.310381315,0.008695902,0.814860111,2.152572574,2.278819567
120,custom-collector,0.0086959015099700,1.9986338627393700,1.2583230436472700,1.2208581239201200,1.12162773295418,1.998633863,0.008695902,0.713493043,1.88758724,1.976424538
130,custom-collector,0.0111786244546532,0.3857593983040520,2.1855793193476900,1.7581402156488100,1.08516438943880,2.185579319,0.011178624,0.909178509,2.121463454,2.172756146
140,custom-collector,0.0120425005589147,0.4534759549293000,2.1855793193476900,1.7581402156488100,1.10230949762118,2.185579319,0.012042501,0.896277653,2.121463454,2.172756146
150,custom-collector,0.0121426046511627,0.4534759549293000,1.7956844422864400,1.7581402156488100,1.00486080437893,1.795684442,0.012142605,0.787773218,1.790052808,1.794558115
160,custom-collector,0.1431361586169760,0.9735794163510800,1.1320070240005300,1.5421265895065100,0.94771229711877,1.54212659,0.143136159,0.508749636,1.480608655,1.529823003
170,custom-collector,0.1578767605878870,0.7888283804904340,1.1320070240005300,1.5421265895065100,0.90520968864634,1.54212659,0.157876761,0.507235469,1.480608655,1.529823003
180,custom-collector,0.1726173625587990,0.7888283804904340,1.1320070240005300,1.5421265895065100,0.90889483913907,1.54212659,0.172617363,0.501817191,1.480608655,1.529823003
190,custom-collector,0.1731298770833330,1.3267027661450200,1.1069459874999900,1.4985859160152000,1.02634113668589,1.498585916,0.173129877,0.511785804,1.472803444,1.493429422
200,custom-collector,1.0861784067960500,1.3267027661450200,2.2444907614688000,1.4985859160152000,1.53898946260627,2.244490761,1.086178407,0.432859106,2.132605035,2.223325723
210,custom-collector,1.1936799521915800,1.3267027661450200,1.9363231185997800,1.4985859160152000,1.48882293823789,1.936323119,1.193679952,0.280064305,1.870662538,1.923191003
0,open-telemetry,0.001773987,0.003094247,0.002981588,0.001955072,0.00245122365970,0.003094247,0.001773987,0.00059152,0.003077348,0.003090868
10,open-telemetry,0.001954598,0.003593997,0.003193891,0.001935384,0.00266946743953,0.003593997,0.001935384,0.000738189,0.003533981,0.003581994
20,open-telemetry,0.001954598,0.003593997,0.003193891,0.002517941,0.00281510682569,0.003593997,0.001954598,0.000628277,0.003533981,0.003581994
30,open-telemetry,0.002358374,0.003593997,0.003193891,0.002517941,0.00291605087281,0.003593997,0.002358374,0.000501573,0.003533981,0.003581994
40,open-telemetry,0.002547467,0.004027976,0.003350111,0.002872301,0.00319946375526,0.004027976,0.002547467,0.00055706,0.003926296,0.00400764
50,open-telemetry,0.003267518,0.004027976,0.003350111,0.002872301,0.00337947645537,0.004027976,0.002872301,0.000415685,0.003926296,0.004008521
60,open-telemetry,0.003267518,0.004027976,0.003350111,0.002872301,0.00337947645537,0.004027976,0.002872301,0.000415685,0.003926296,0.004008521
70,open-telemetry,0.003114461,0.00423431,0.003910572,0.003367074,0.00365660438291,0.00423431,0.003114461,0.000440452,0.00418575,0.004224598
80,open-telemetry,0.00300049,0.00423431,0.003910572,0.003277816,0.00360579720745,0.00423431,0.00300049,0.000490379,0.00418575,0.004224598
90,open-telemetry,0.0029526,0.004058802,0.003910572,0.003129389,0.00351284073430,0.004058802,0.0029526,0.000478845,0.004036568,0.004054355
100,open-telemetry,0.0029526,0.003955615,0.004171182,0.002416176,0.00337389323382,0.004171182,0.002416176,0.000719163,0.004138847,0.004164715
110,open-telemetry,0.0029526,0.003955615,0.003620219,0.002953691,0.00337053093946,0.003955615,0.0029526,0.000433904,0.003905305,0.003945553
120,open-telemetry,0.00258982,0.003362976,0.003620219,0.002439166,0.00300304512077,0.003620219,0.002439166,0.000499792,0.003581632,0.003612501
130,open-telemetry,0.00258982,0.003717347,0.00358604,0.002193025,0.00302155806825,0.003717347,0.002193025,0.00064723,0.003697651,0.003713408
140,open-telemetry,0.00258982,0.003717347,0.003249768,0.002786133,0.00308576688957,0.003717347,0.00258982,0.000436329,0.00364721,0.00370332
150,open-telemetry,0.002128715,0.003717347,0.003249768,0.002786133,0.00297049065225,0.003717347,0.002128715,0.000587019,0.00364721,0.00370332
160,open-telemetry,0.002517828,0.003360411,0.002453013,0.002621457,0.00273817713876,0.003360411,0.002453013,0.000364236,0.003249568,0.003341744
170,open-telemetry,0.002517828,0.003360411,0.002453013,0.002563601,0.00272371331326,0.003360411,0.002453013,0.000369691,0.003240889,0.00334131
180,open-telemetry,0.002601528,0.003360411,0.002453013,0.002563601,0.00274463843749,0.003360411,0.002453013,0.000359679,0.003246578,0.003341937
190,open-telemetry,0.002646251,0.003156402,0.002150814,0.002440209,0.00259841911189,0.003156402,0.002150814,0.000367087,0.003079879,0.003139662
200,open-telemetry,0.00272163,0.003156402,0.002543862,0.00247588,0.00272444343640,0.003156402,0.00247588,0.000265042,0.003091186,0.003143443
210,open-telemetry,0.002752631,0.00299276,0.002543862,0.001667246,0.00248912460862,0.00299276,0.001667246,0.000500391,0.00295674,0.002979293
0,sample-service,0.000585982,0.000554972,0.00062324,0.000612933,0.00059428188823,0.00062324,0.000554972,2.64603E-05,0.000621694,0.000622931
10,sample-service,0.000585982,0.001082931,0.004641662,0.003234122,0.00238617434012,0.004641662,0.000585982,0.001639007,0.004430531,0.004599436
20,sample-service,0.001865219,0.003561018,0.004641662,0.003840512,0.00347710277513,0.004641662,0.001865219,0.001011617,0.00452149,0.004617628
30,sample-service,0.002183728,0.003561018,0.004641662,0.003840512,0.00355673009481,0.004641662,0.002183728,0.000886392,0.00452149,0.004617628
40,sample-service,0.002183728,0.004423502,0.004641662,0.003241707,0.00362264975773,0.004641662,0.002183728,0.000986834,0.004608938,0.004635117
50,sample-service,0.008095454,0.003616754,0.011166361,0.009954457,0.00820825650614,0.011166361,0.003616754,0.002867674,0.010984576,0.011130004
60,sample-service,0.008095454,0.013878478,0.011166361,0.012200158,0.01133511270549,0.013878478,0.008095454,0.002105996,0.01362673,0.013828128
70,sample-service,0.008095454,0.013878478,0.015079969,0.016323104,0.01334425118175,0.016323104,0.008095454,0.003151252,0.016136634,0.01628581
80,sample-service,0.014768014,0.013878478,0.017207865,0.016323104,0.01554436501544,0.017207865,0.013878478,0.001299189,0.01707515,0.017181322
90,sample-service,0.015491248,0.020197949,0.017207865,0.013777901,0.01666874064774,0.020197949,0.013777901,0.00237115,0.019749436,0.020108246
100,sample-service,0.015491248,0.024450009,0.021707576,0.02164246,0.02082282334249,0.024450009,0.015491248,0.00328012,0.024038644,0.024367736
110,sample-service,0.016322942,0.024450009,0.02051541,0.02164246,0.02073270519130,0.024450009,0.016322942,0.002921439,0.024028877,0.024365782
120,sample-service,0.019040574,0.022039227,0.02051541,0.02164246,0.02080941772491,0.022039227,0.019040574,0.001164221,0.021979712,0.022027324
130,sample-service,0.019040574,0.021798069,0.017106122,0.012625539,0.01764257600102,0.021798069,0.012625539,0.003342191,0.021384445,0.021673404
140,sample-service,0.018699079,0.01996705,0.014159312,0.014885633,0.01692776864451,0.01996705,0.014159312,0.002460154,0.019776854,0.019875872
150,sample-service,0.013810649,0.016750109,0.014159312,0.014885633,0.01490142586994,0.016750109,0.013810649,0.001135606,0.016470437,0.016694648
160,sample-service,0.013810649,0.013087842,0.011072231,0.011535179,0.01237647518301,0.013810649,0.011072231,0.001114869,0.013702228,0.013066501
170,sample-service,0.010950366,0.013087842,0.007011011,0.009134297,0.01004587907442,0.013087842,0.007011011,0.002242378,0.012767221,0.012996583
180,sample-service,0.007619821,0.005754625,0.007011011,0.002022889,0.00560208674126,0.007619821,0.002022889,0.002173145,0.0075285,0.00697332
190,sample-service,0.007619821,0.005754625,0.005570567,0.00156145,0.00512661590059,0.007619821,0.00156145,0.002208957,0.007340042,0.005749103
200,sample-service,0.000623529,0.005754625,0.0007511,0.00156145,0.00217267593532,0.005754625,0.000623529,0.002099089,0.005125649,0.005647166
210,sample-service,0.000746851,0.000743641,0.000646595,0.00156145,0.00092463417275,0.00156145,0.000646595,0.000369867,0.00143926,0.001542346
0,tempo-0,0.000539968,0.000699385,0.000687986,0.000585982,0.00062833035370,0.000699385,0.000539968,6.74702E-05,0.000697675,0.000699043
10,tempo-1,0.000563848,0.000699385,0.000687986,0.001865219,0.00095410960305,0.001865219,0.000563848,0.000528708,0.001690344,0.001837886
20,tempo-2,0.00060837,0.000699385,0.000687986,0.002183728,0.00104486738969,0.002183728,0.00060837,0.000658456,0.001961077,0.002149562
30,tempo-3,0.000724871,0.000745268,0.000617405,0.002183728,0.00106781826741,0.002183728,0.000617405,0.000646099,0.001967959,0.002150251
40,tempo-4,0.000724871,0.000715858,0.000617405,0.008095454,0.00253839711379,0.008095454,0.000617405,0.003208645,0.006989866,0.007928742
50,tempo-5,0.001413512,0.000736891,0.00096405,0.008095454,0.00280247691115,0.008095454,0.000736891,0.003065587,0.007093163,0.007936665
60,tempo-6,0.001413512,0.000631996,0.000955213,0.008095454,0.00277404373800,0.008095454,0.000631996,0.003084841,0.007093163,0.007935812
70,tempo-7,0.003179873,0.001256417,0.001569846,0.014768014,0.00519353755762,0.014768014,0.001256417,0.005575785,0.013029793,0.01448078
80,tempo-8,0.003179873,0.001428898,0.001569846,0.015491248,0.00541746656408,0.015491248,0.001428898,0.005856636,0.013644542,0.015189035
90,tempo-9,0.003804943,0.001849182,0.002206879,0.015491248,0.00583806306735,0.015491248,0.001849182,0.005621704,0.013738303,0.015201653
100,tempo-10,0.003882797,0.002415064,0.002315134,0.016322942,0.00623398442081,0.016322942,0.002315134,0.00585783,0.01445692,0.016020273
110,tempo-11,0.002935663,0.002457489,0.00257026,0.019040574,0.00675099647849,0.019040574,0.002457489,0.007097592,0.016624837,0.018671886
