"Time","endpoint","id","instance","job","metrics_path","namespace","node","pod","service","Value #A"
1758436650000,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,2154882.72732304
1758436660000,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,2154882.72732304
1758436670000,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,2378015.178894109
1758436680000,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,2378015.178894109
1758436690000,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,2378015.178894109
1758436700000,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,748940.9092329975
1758436710000,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,748940.9092329975
1758436720000,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,748940.9092329975
1758436730000,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,415310.98587754555
1758436740000,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,415310.98587754555
1758436750000,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,415310.98587754555
1758436760000,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,51228.524974133325
1758436770000,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,51228.524974133325
1758436780000,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,51228.524974133325
1758436790000,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,2661042.421733836
1758436800000,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,2915218.1208774974
1758436810000,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,3050108.3897239356
1758436820000,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,2948889.5999999996
1758436830000,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,3238604.5495974827
1758436840000,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,3267793.6746837837
1758436850000,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,4009477.3758790316
1758436860000,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,4379467.21130817
1758436870000,https-metrics,/kubepods/besteffort/pod0619af9d-2006-44ba-92b4-f852c36e62b8,192.168.49.2:10250,kubelet,/metrics/cadvisor,custom-collector,minikube,custom-collector-849864d698-glb2p,prometheus-stack-kube-prom-kubelet,4334280.68178013
